fold_id,feature,coefficient
41,__intercept__,0.04712912950912921
42,sample_avg_pairwise_correlation,-0.007380700389673443
42,sample_condition_number,0.005327388996941087
42,ledoit_wolf_condition_number,-0.004960860505511378
42,rmt_condition_number,-0.017239505675571046
42,ledoit_wolf_to_sample_condition_ratio,-0.008949363624594864
42,rmt_to_sample_condition_ratio,0.030678185755211747
42,trailing_realized_volatility,0.05859187964586262
42,__intercept__,0.046359366569510486
43,sample_avg_pairwise_correlation,-0.007408877815472849
43,sample_condition_number,0.005093604547805741
43,ledoit_wolf_condition_number,-0.004888492180574568
43,rmt_condition_number,-0.016958129693785524
43,ledoit_wolf_to_sample_condition_ratio,-0.008997777633039081
43,rmt_to_sample_condition_ratio,0.03018226498704373
43,trailing_realized_volatility,0.058478335042228
43,__intercept__,0.045648304243768714
44,sample_avg_pairwise_correlation,-0.008291543463098858
44,sample_condition_number,0.0025343589143806827
44,ledoit_wolf_condition_number,-0.004546220345130753
44,rmt_condition_number,-0.01496415203477033
44,ledoit_wolf_to_sample_condition_ratio,-0.009459642729999558
44,rmt_to_sample_condition_ratio,0.027070355744120953
44,trailing_realized_volatility,0.058555198813645404
44,__intercept__,0.04492261173801076
45,sample_avg_pairwise_correlation,-0.00949520168945041
45,sample_condition_number,-0.0020118688820533236
45,ledoit_wolf_condition_number,-0.00370284070230638
45,rmt_condition_number,-0.012047938864807997
45,ledoit_wolf_to_sample_condition_ratio,-0.010668414134505972
45,rmt_to_sample_condition_ratio,0.022738912594793628
45,trailing_realized_volatility,0.05876570929735345
45,__intercept__,0.04423233217157884
46,sample_avg_pairwise_correlation,-0.010310668909470019
46,sample_condition_number,-0.004136058040816776
46,ledoit_wolf_condition_number,-0.004894596121950864
46,rmt_condition_number,-0.00919244547064884
46,ledoit_wolf_to_sample_condition_ratio,-0.009324753828264675
46,rmt_to_sample_condition_ratio,0.01791821379150737
46,trailing_realized_volatility,0.05903150363448666
46,__intercept__,0.043524882432479615
47,sample_avg_pairwise_correlation,-0.01116939473000531
47,sample_condition_number,-0.007301629916519383
47,ledoit_wolf_condition_number,-0.006528722067592923
47,rmt_condition_number,-0.004887445818085428
47,ledoit_wolf_to_sample_condition_ratio,-0.007380942848950661
47,rmt_to_sample_condition_ratio,0.011050325694284454
47,trailing_realized_volatility,0.059290508496481216
47,__intercept__,0.04284632188225998
48,sample_avg_pairwise_correlation,-0.01112014901769163
48,sample_condition_number,-0.007190421834400294
48,ledoit_wolf_condition_number,-0.007763637832912777
48,rmt_condition_number,-0.0037254696137012265
48,ledoit_wolf_to_sample_condition_ratio,-0.0059615386875446885
48,rmt_to_sample_condition_ratio,0.008999917945819657
48,trailing_realized_volatility,0.059498977868235735
48,__intercept__,0.0423222470333408
49,sample_avg_pairwise_correlation,-0.01176070368890789
49,sample_condition_number,-0.006231797267619883
49,ledoit_wolf_condition_number,-0.009045181321205133
49,rmt_condition_number,-0.00419431322517261
49,ledoit_wolf_to_sample_condition_ratio,-0.0029116150140049207
49,rmt_to_sample_condition_ratio,0.006241117056392745
49,trailing_realized_volatility,0.05932555347344289
49,__intercept__,0.04177506160360376
50,sample_avg_pairwise_correlation,-0.011952616294313264
50,sample_condition_number,-0.0062833591204816885
50,ledoit_wolf_condition_number,-0.009140813527332266
50,rmt_condition_number,-0.004972482100087919
50,ledoit_wolf_to_sample_condition_ratio,-0.002759187796293382
50,rmt_to_sample_condition_ratio,0.0059621921824967224
50,trailing_realized_volatility,0.059081134615190795
50,__intercept__,0.0413827253276034
51,sample_avg_pairwise_correlation,-0.012363001748027692
51,sample_condition_number,-0.006632486533616311
51,ledoit_wolf_condition_number,-0.008603821924033129
51,rmt_condition_number,-0.004749762202488988
51,ledoit_wolf_to_sample_condition_ratio,-0.002810112260361642
51,rmt_to_sample_condition_ratio,0.005936176469170894
51,trailing_realized_volatility,0.05843948424281079
51,__intercept__,0.04101274811020396
52,sample_avg_pairwise_correlation,-0.012957739764897863
52,sample_condition_number,-0.006661829085138147
52,ledoit_wolf_condition_number,-0.008227913017828688
52,rmt_condition_number,-0.004406300005505053
52,ledoit_wolf_to_sample_condition_ratio,-0.0025277852448289903
52,rmt_to_sample_condition_ratio,0.005921356631773933
52,trailing_realized_volatility,0.05771987682437398
52,__intercept__,0.04048120818135868
53,sample_avg_pairwise_correlation,-0.012957810297158883
53,sample_condition_number,-0.007097132970289013
53,ledoit_wolf_condition_number,-0.008222314200367297
53,rmt_condition_number,-0.004751770424803462
53,ledoit_wolf_to_sample_condition_ratio,-0.003092402676719536
53,rmt_to_sample_condition_ratio,0.005831881970860679
53,trailing_realized_volatility,0.05759173165468361
53,__intercept__,0.04002582442185666
54,sample_avg_pairwise_correlation,-0.013018506145212619
54,sample_condition_number,-0.0065820380218157785
54,ledoit_wolf_condition_number,-0.008476497147390143
54,rmt_condition_number,-0.004693422931738706
54,ledoit_wolf_to_sample_condition_ratio,-0.0027374628968188743
54,rmt_to_sample_condition_ratio,0.005981649848762569
54,trailing_realized_volatility,0.057204404810646044
54,__intercept__,0.039572321825138215
55,sample_avg_pairwise_correlation,-0.013090119813518526
55,sample_condition_number,-0.006051655959624173
55,ledoit_wolf_condition_number,-0.00885880066071018
55,rmt_condition_number,-0.004369224722831125
55,ledoit_wolf_to_sample_condition_ratio,-0.0021633568689201584
55,rmt_to_sample_condition_ratio,0.005774044629808821
55,trailing_realized_volatility,0.0568155290880723
55,__intercept__,0.039083631923739065
56,sample_avg_pairwise_correlation,-0.013150247413521122
56,sample_condition_number,-0.006026479638061055
56,ledoit_wolf_condition_number,-0.008924863830326193
56,rmt_condition_number,-0.004303813390209136
56,ledoit_wolf_to_sample_condition_ratio,-0.0021186492701039407
56,rmt_to_sample_condition_ratio,0.005696197485666101
56,trailing_realized_volatility,0.05658120052996818
56,__intercept__,0.03861502634547257
57,sample_avg_pairwise_correlation,-0.01319281257156574
57,sample_condition_number,-0.005999506176442251
57,ledoit_wolf_condition_number,-0.008935913937423169
57,rmt_condition_number,-0.004308070839452634
57,ledoit_wolf_to_sample_condition_ratio,-0.0021394378253134457
57,rmt_to_sample_condition_ratio,0.005742215899634637
57,trailing_realized_volatility,0.05633657792111901
57,__intercept__,0.038140294306010604
